id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
1044,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,483.0,GasA,TA,Y,SBrkr,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,None,Detchd,1971,Unf,264.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,7,2008,COD,85400
2752,20,RL,64.0,7488,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1208.0,GasA,Ex,Y,SBrkr,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,None,Attchd,2005,RFn,632.0,TA,TA,Y,105,58,0,0,0,None,None,None,0,2,2006,WD ,183600
807,70,RL,120.0,26400,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,None,None,0.0,GasA,Ex,Y,SBrkr,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900,Unf,576.0,TA,TA,P,0,0,0,0,0,None,None,None,0,6,2009,WD ,131000
1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,960.0,GasA,Ex,Y,SBrkr,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Detchd,2000,Unf,480.0,TA,TA,Y,169,0,0,0,0,None,None,None,0,12,2008,ConLD,200000
1480,20,RL,74.0,9627,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1351.0,GasA,Ex,Y,SBrkr,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2007,RFn,610.0,TA,TA,Y,0,50,0,0,0,None,None,None,0,6,2008,WD ,193000
324,20,RL,93.0,10114,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,GasA,Ex,Y,SBrkr,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2004,RFn,624.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,3,2010,WD ,173500
1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,GasA,Fa,N,SBrkr,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,None,Detchd,1916,Unf,513.0,Fa,Fa,Y,0,0,96,0,0,None,None,None,0,5,2008,COD,98000
770,20,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,Unf,1121.0,GasA,TA,Y,SBrkr,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1963,Unf,480.0,TA,TA,Y,0,80,0,0,0,None,MnPrv,None,0,6,2009,WD ,139000
2063,20,RL,71.0,8197,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,GasA,Ex,Y,SBrkr,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,528.0,TA,TA,Y,138,0,0,0,0,None,MnPrv,None,0,4,2007,WD ,143500
69,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,756.0,GasA,Ex,Y,SBrkr,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2009,Unf,614.0,TA,TA,Y,169,45,0,0,0,None,None,None,0,6,2010,Con,215200
2062,20,RL,109.0,8724,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,894.0,GasA,Gd,Y,SBrkr,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968,Fin,450.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,5,2007,WD ,129000
351,120,RL,40.0,5664,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1501.0,GasA,Ex,Y,SBrkr,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000,Fin,499.0,TA,TA,Y,212,59,0,0,0,None,None,None,0,10,2009,WD ,278000
2393,60,RL,103.0,12867,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,GasA,Ex,Y,SBrkr,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005,Fin,575.0,TA,TA,Y,243,142,0,0,0,None,None,None,0,7,2006,New,344133
12,20,RL,74.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,GasA,Ex,Y,SBrkr,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,None,Attchd,1992,Fin,420.0,TA,TA,Y,483,21,0,0,0,None,GdPrv,Shed,500,3,2010,WD ,185000
2339,190,RL,100.0,34650,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,1056.0,GasA,TA,N,SBrkr,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,1955,Fin,572.0,TA,TA,Y,264,0,0,0,0,None,None,None,0,1,2006,WD ,145000
624,20,RL,92.0,10573,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1453.0,GasA,Ex,Y,SBrkr,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961,RFn,530.0,TA,TA,Y,0,49,0,0,288,None,GdPrv,None,0,4,2009,WD ,187500
86,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,894.0,GasA,Ex,Y,SBrkr,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973,Unf,336.0,TA,TA,Y,416,144,0,0,0,None,MnPrv,None,0,4,2010,WD ,138500
1534,50,RL,78.8,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,942.0,GasA,Ex,Y,SBrkr,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937,Unf,240.0,TA,TA,Y,0,40,0,0,0,None,None,None,0,7,2008,WD ,198000
2243,190,C (all),75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,GasA,Fa,N,SBrkr,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,None,None,None,None,0.0,None,None,N,0,0,133,0,0,None,None,None,0,6,2007,WD ,119600
1957,50,RL,60.0,8064,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,GasA,Ex,Y,SBrkr,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003,Unf,576.0,TA,TA,Y,0,0,0,0,0,None,MnPrv,Shed,2000,7,2007,WD ,122900
380,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,2524.0,GasA,TA,Y,SBrkr,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981,Fin,542.0,TA,TA,Y,474,120,0,0,0,None,MnPrv,None,0,7,2009,WD ,278000
2860,70,RL,73.2,11435,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,GasA,Fa,Y,SBrkr,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931,Unf,400.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,6,2006,WD ,230000
2517,120,RL,30.0,9549,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,1494.0,GasA,Ex,Y,SBrkr,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995,Fin,481.0,TA,TA,Y,0,30,0,0,216,None,None,None,0,4,2006,WD ,270000
1933,20,RL,60.0,10950,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,948.0,GasA,TA,Y,SBrkr,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1952,Unf,410.0,TA,TA,N,0,48,0,0,0,None,None,None,0,4,2007,WD ,125000
820,20,RL,79.0,10637,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,1705.0,GasA,Ex,Y,SBrkr,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,826.0,TA,TA,Y,208,44,0,0,0,None,None,None,0,9,2009,WD ,297000
675,20,RL,80.0,9000,Pave,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,GasA,Fa,Y,SBrkr,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,1958,RFn,384.0,TA,TA,Y,0,28,64,0,0,None,None,None,0,4,2009,WD ,113500
2910,160,RM,41.0,2665,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,757.0,GasA,Ex,Y,SBrkr,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,1977,RFn,336.0,TA,TA,Y,104,26,0,0,0,None,None,None,0,7,2006,WD ,127000
21,20,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,GasA,Ex,Y,SBrkr,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,546.0,TA,TA,Y,0,122,0,0,0,None,MnPrv,None,0,1,2010,COD,190000
1873,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1242.0,GasA,Fa,Y,SBrkr,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973,Unf,528.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,9,2007,WD ,175500
2125,20,RL,60.0,8428,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,990.0,GasA,Ex,Y,SBrkr,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1995,Unf,384.0,TA,TA,Y,256,0,0,0,0,None,None,None,0,7,2007,WD ,146000
1489,20,RL,75.0,9937,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,1256.0,GasA,Gd,Y,SBrkr,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,1965,Fin,276.0,TA,TA,Y,736,68,0,0,0,None,None,None,0,6,2008,WD ,147500
2383,20,RL,107.0,13891,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,2076.0,GasA,Ex,Y,SBrkr,0,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2006,Fin,850.0,TA,TA,Y,216,229,0,0,0,None,None,None,0,9,2006,New,465000
983,85,RL,64.6,9101,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,1097.0,GasA,Ex,Y,SBrkr,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978,Fin,602.0,TA,TA,Y,303,30,0,0,0,None,None,None,0,7,2009,WD ,165500
1325,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,GasA,Ex,N,FuseF,0,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,None,Attchd,1954,Unf,352.0,Fa,TA,Y,0,0,0,0,0,None,None,None,0,11,2008,WD ,131500
1378,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040.0,GasA,Ex,Y,SBrkr,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1965,Unf,384.0,TA,TA,Y,0,0,0,0,0,None,None,None,0,2,2008,WD ,129500
1537,70,RL,100.0,9670,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,Unf,608.0,GasA,TA,Y,SBrkr,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,1935,Fin,786.0,Fa,TA,Y,0,0,207,0,0,None,None,None,0,6,2008,WD ,257076
905,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,984.0,GasA,Ex,Y,SBrkr,0,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,None,Detchd,1977,Unf,660.0,TA,TA,Y,0,68,0,0,0,None,None,None,0,7,2009,WD ,117000
1532,70,RL,60.0,7200,Pave,None,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,776.0,GasA,TA,Y,SBrkr,0,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1931,RFn,270.0,TA,TA,P,0,0,112,0,0,None,MnPrv,None,0,2,2008,WD ,149000
132,20,RL,80.0,9920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,1056.0,GasA,TA,Y,SBrkr,0,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,1954,RFn,280.0,TA,TA,Y,0,0,164,0,0,None,MnPrv,None,0,2,2010,WD ,128000
1078,160,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,GasA,Ex,Y,SBrkr,0,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,None,BuiltIn,2003,RFn,474.0,TA,TA,Y,0,27,0,0,0,None,None,None,0,10,2008,WD ,155000
2511,160,FV,29.4,2998,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,756.0,GasA,Ex,Y,SBrkr,0,1524,0.0,0.0,2,1,2,1,Gd,4,Typ,0,None,Detchd,2000,Unf,440.0,TA,TA,Y,0,32,0,0,0,None,None,None,0,6,2006,WD ,166000
912,50,RL,65.0,7804,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,1122.0,GasA,TA,Y,SBrkr,0,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,TA,Detchd,1981,Unf,576.0,TA,TA,Y,431,44,0,0,0,None,MnPrv,None,0,12,2009,WD ,135000
2351,60,RL,80.0,16692,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,LwQ,1392.0,GasA,TA,Y,SBrkr,0,2784,1.0,0.0,3,1,5,1,Gd,12,Typ,2,TA,Attchd,1978,RFn,564.0,TA,TA,Y,0,112,0,0,440,Fa,MnPrv,TenC,2000,7,2006,WD ,250000
